time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1985-08-04T12:01:55.870Z,36.143,-120.1563333,15.89,5.6,ml,45,163,0.09009,0.08,nc,nc52348,2018-06-04T20:43:45.000Z,Central California,earthquake,0.27,0.55,,0,reviewed,nc,nc
1994-01-17T23:33:30.690Z,34.326,-118.698,9.083,5.58,ml,0,23.9,,0.317,ci,ci3141273,2017-05-10T20:34:13.501Z,"7km NNE of Simi Valley, California",earthquake,,0.84,,28,reviewed,ci,ci
1992-06-28T14:43:21.850Z,34.162,-116.852,9.615,5.53,ml,0,70.9,,0.146,ci,ci2057008,2017-04-13T22:04:39.556Z,"11km SSE of Big Bear Lake, California",earthquake,,2.031,,11,reviewed,ci,ci
1990-02-28T23:43:36.750Z,34.144,-117.697,3.292,5.51,ml,0,30.9,,0.27,ci,ci1053635,2017-05-10T19:15:42.595Z,"6km NNE of Claremont, CA",earthquake,,0.155,,14,reviewed,ci,ci
2019-07-06T03:47:53.420Z,35.9011667,-117.7495,5.04,5.5,mw,49,33,0.07334,0.16,ci,ci38457687,2019-11-15T18:04:47.354Z,"15km ESE of Little Lake, CA",earthquake,0.13,0.5,,4,reviewed,ci,ci
1986-01-26T19:20:50.950Z,36.8043333,-121.285,8.153,5.5,ml,91,27,0.05946,0.05,nc,nc64626,2018-06-04T20:43:45.000Z,Central California,earthquake,0.12,0.21,,8,reviewed,nc,nc
1983-05-02T23:46:06.000Z,36.23,-120.29,8,5.5,mb,,,,,us,usp0001uxb,2018-06-04T20:43:45.000Z,Central California,earthquake,,,,3,reviewed,brk,us
1992-06-28T12:36:40.770Z,34.115,-116.4263333,7.502,5.49,ml,30,176,,0.41,ci,ci2056979,2016-04-02T08:46:00.545Z,"0km E of Yucca Valley, CA",earthquake,1.46,1.85,,11,reviewed,ci,ci
1983-09-09T09:16:13.510Z,36.2198333,-120.2796667,6.887,5.47,md,53,125,0.05946,0.05,nc,nc1102223,2018-06-04T20:43:45.000Z,Central California,earthquake,0.17,0.27,0.35,21,reviewed,nc,nc
2007-10-31T03:04:54.810Z,37.4335,-121.7743333,9.741,5.45,mw,156,50,0.02703,0.11,nc,nc40204628,2017-09-18T22:24:00.790Z,"San Francisco Bay area, California",earthquake,0.11,0.28,,6,reviewed,nc,nc
1986-07-13T13:47:08.210Z,32.971,-117.874,5.828,5.45,ml,0,166.2,,0.431,ci,ci127298,2018-06-04T20:43:45.000Z,"47km ENE of San Clemente Is. (SE tip), CA",earthquake,,,,8,reviewed,ci,ci
1981-09-04T15:50:48.700Z,33.5575,-119.1195,5.549,5.45,ml,106,88,,0.35,ci,ci522177,2018-06-04T20:43:45.000Z,"11km NNW of Santa Barbara Is., CA",earthquake,0.9,31.61,0.171,10,reviewed,ci,ci
2019-07-06T04:18:55.790Z,35.9101667,-117.6848333,7.41,5.44,mw,66,37,0.07213,0.17,ci,ci38457847,2019-11-15T18:29:18.811Z,"20km E of Little Lake, CA",earthquake,0.12,0.36,,6,reviewed,ci,ci
2008-07-29T18:42:15.670Z,33.9485,-117.7663333,15.503,5.44,mw,136,17,0.08724,0.3,ci,ci14383980,2019-07-06T19:18:11.149Z,"5km S of Chino Hills, CA",earthquake,0.19,0.52,,6,reviewed,ci,ci
